student_id,activity_id,swap_weight,group_id,new_group_id
15242,2628776,0,130701,130701
14282,2631962,0,131679,131679
14183,2629269,1,130919,130919
15556,2624307,0,129117,129117
15436,2633771,0,132188,132188
14363,2631374,0,131419,131419
15502,2631962,0,131681,131681
11962,2634929,0,132574,132574
15064,2633727,0,132138,132138
15048,2628856,1,130707,130707
12889,2629590,0,131088,131088
14433,2631867,0,131585,131585
16633,2626486,0,129986,129986
16113,2627936,0,130440,130440
12030,2625703,0,129730,129730
15359,2624559,1,129240,129240
16008,2635466,0,132703,132703
14097,2625751,0,129755,129755
14438,2628776,0,130699,130699
15140,2636994,0,134441,134441
14278,2633760,0,132176,132176
15123,2624559,1,129239,129239
12622,2624608,0,129265,129265
16162,2635466,0,132702,132702
15513,2631761,0,131580,131580
14282,2626775,0,130099,130099
15513,2635892,0,132764,132764
14449,2631017,0,131361,131361
13910,2630853,1,131248,131263
15499,2635462,0,132694,132694
15193,2626067,0,129831,129831
15071,2633771,0,132189,132189
15027,2631895,0,131615,131615
14166,2627269,0,130272,130272
15476,2635193,1,132662,132662
16389,2624407,0,129167,129167
16582,2626815,1,130132,130132
14063,2634674,0,132471,132471
16282,2626518,0,130017,130017
12920,2634236,1,132336,132334
16297,2624429,0,129185,129185
12131,2629246,0,130899,130899
15273,2626166,0,129885,129885
11911,2631017,0,131361,131361
15074,2635852,0,132748,132748
16191,2626815,0,130138,130138
15452,2631867,0,131586,131586
15251,2635466,0,132703,132703
12622,2623939,0,128947,128947
16520,2630208,1,131171,131171
14351,2631888,0,131606,131606
15188,2624307,0,129115,129115
15141,2626157,1,129872,129872
12727,2632026,0,131743,131743
14358,2634701,1,132496,132500
14436,2628087,1,130532,130521
16291,2639803,0,133931,133931
12986,2634360,0,132382,132382
15454,2631867,0,131587,131587
15066,2627493,1,130359,130359
16258,2635466,0,132699,132699
11667,2635050,0,132644,132644
12622,2624576,0,129256,129256
16314,2626518,0,130017,130017
12678,2633983,0,132241,132241
16115,2635462,0,132696,132696
15171,2628870,0,130720,130720
14550,2635009,1,132612,132612
15317,2636584,0,133848,133848
15015,2624440,0,129199,129199
15091,2631867,0,131589,131589
15567,2635462,0,132694,132694
11616,2634674,0,132472,132472
14528,2634674,0,132475,132475
16259,2635462,0,132694,132694
16338,2626715,0,130038,130038
16081,2626755,0,130068,130068
16143,2627787,0,130383,130383
11724,2636383,0,133661,133661
11795,2634674,1,132476,132476
12959,2627629,1,130370,130371
12003,2634242,1,132342,132339
15461,2633727,0,132142,132142
15173,2631976,0,131706,131706
15124,2631761,1,131579,131580
14092,2634387,0,132411,132411
15335,2633771,0,132188,132188
16164,2626795,0,130117,130117
16587,2635462,1,132695,132695
16544,2624440,0,129202,129202
15430,2627088,0,130220,130220
16526,2627936,0,130439,130439
15659,2628870,0,130729,130729
16115,2624429,0,129187,129187
11050,2628573,0,130670,130670
14524,2626715,1,130033,130033
15096,2631895,0,131616,131616
15421,2631895,0,131613,131613
14151,2624199,0,129032,129032
16466,2629684,0,131160,131160
14446,2631902,0,131621,131621
14211,2634833,0,132553,132553
15484,2626775,0,130097,130097
15361,2626148,0,129867,129867
15193,2624464,0,129221,129221
15430,2627097,0,130228,130228
16413,2626715,0,130025,130025
14290,2632964,0,131876,131876
13042,2631276,0,131393,131393
15107,2627297,0,130278,130278
15135,2635896,1,132767,132768
13095,2631909,0,131638,131638
14097,2634929,0,132574,132574
15091,2628870,0,130730,130730
15567,2626964,0,130195,130195
16027,2628087,1,130530,130517
11050,2629578,0,131077,131077
14260,2634749,0,132519,132519
11856,2630715,1,131221,131221
12642,2634646,0,132466,132466
13107,2634800,0,132545,132545
14282,2628042,0,130476,130476
16292,2624429,1,129189,129189
16261,2626456,0,129955,129955
15171,2628776,0,130701,130701
14211,2624157,1,129014,129013
15114,2633760,0,132173,132173
15250,2631962,0,131681,131681
15223,2624544,0,129224,129224
14109,2634712,0,132507,132507
15062,2633738,0,132147,132147
15186,2635852,0,132748,132748
12891,2634683,0,132478,132478
14288,2627493,0,130360,130360
14377,2636827,0,134245,134245
15454,2628856,0,130715,130715
16297,2626486,0,129988,129988
15449,2636994,0,134441,134441
14092,2636691,0,134104,134104
16027,2626775,1,130081,130081
15368,2624569,1,129249,129249
16338,2628312,0,130548,130548
14528,2630893,0,131304,131304
15392,2631532,0,131450,131450
16643,2626815,0,130132,130132
12726,2629553,0,131053,131053
10827,2629394,0,130994,130994
15134,2631902,1,131622,131622
13917,2629284,0,130936,130936
15595,2632068,0,131751,131751
15186,2626953,1,130184,130184
16643,2635462,0,132695,132695
13050,2634378,0,132399,132399
15062,2635193,0,132662,132662
15020,2627269,0,130272,130272
15649,2635193,0,132663,132663
15567,2627097,0,130226,130226
12652,2636010,0,132790,132790
15212,2631902,0,131622,131622
15193,2635466,1,132703,132704
16297,2626964,0,130194,130194
15567,2635466,0,132705,132705
12762,2625746,0,129748,129748
15507,2635892,0,132763,132763
15283,2628042,1,130474,130485
12663,2624647,0,129277,129277
14243,2635035,0,132632,132632
15273,2624564,0,129244,129244
11581,2628387,0,130588,130588
12634,2628465,0,130637,130637
15020,2624544,1,129226,129224
15430,2627787,0,130377,130377
12970,2629261,0,130912,130912
15522,2635193,0,132662,132662
12769,2634293,0,132365,132365
14281,2631955,0,131675,131675
14258,2631867,0,131587,131587
16042,2627913,0,130421,130421
14465,2627629,1,130371,130371
13950,2629246,0,130900,130900
11796,2635900,0,132773,132773
15253,2628870,0,130723,130723
14546,2630959,0,131332,131332
11590,2636551,0,133811,133811
14347,2634743,0,132513,132513
15535,2635193,0,132664,132664
16219,2626795,0,130118,130118
12003,2636126,0,132806,132806
13016,2632026,1,131743,131744
14286,2631276,0,131393,131393
15454,2631962,0,131681,131681
15153,2626157,0,129874,129874
15070,2631962,0,131680,131680
14353,2627381,0,130334,130334
14180,2629284,0,130933,130933
12620,2635788,0,132734,132734
16613,2631532,0,131448,131448
11687,2628555,0,130652,130652
14291,2630893,1,131299,131295
11800,2634254,1,132354,132350
15511,2626518,0,130016,130016
11729,2627307,0,130285,130285
15600,2626944,0,130175,130175
16091,2635466,0,132704,132704
15106,2631948,0,131669,131669
14282,2631888,0,131605,131605
15091,2633636,0,132122,132122
14446,2628856,0,130708,130708
14255,2634833,0,132553,132553
14126,2624569,0,129251,129251
16543,2629684,0,131162,131162
16113,2628087,1,130504,130504
13095,2631948,0,131667,131667
15182,2628884,0,130735,130735
15122,2626506,1,130002,130002
14316,2627097,0,130233,130233
15062,2631895,0,131615,131615
15511,2631895,0,131616,131616
13050,2629582,0,131082,131082
14278,2631909,0,131634,131634
15027,2631874,0,131594,131594
15104,2631888,0,131607,131607
14351,2626775,0,130086,130086
15659,2631962,0,131681,131681
15088,2624307,0,129117,129117
13995,2630943,0,131318,131318
14404,2629045,1,130794,130794
12907,2631881,0,131603,131603
15349,2631888,0,131609,131609
