student_id,activity_id,swap_weight,group_id,new_group_id
14489,1699451,0,88493,88493
15096,1700823,0,88913,88913
11742,1703265,1,89569,89573
15369,1700863,0,88946,88946
12835,1703918,0,89747,89747
11958,1701745,0,91955,91955
15600,1700899,0,88979,88979
15527,1699451,1,88477,88477
15473,1697344,0,87996,87996
12748,1704625,0,89918,89918
15658,1700899,0,88978,88978
15455,1699451,0,88490,88490
15482,1699451,0,88502,88502
15265,1697058,0,87907,87907
14070,1706510,0,91808,91808
15502,1697299,1,87955,87959
12660,1702260,0,89205,89205
15500,1697344,0,88025,88025
15558,1700852,0,88929,88929
15130,1700852,0,88929,88929
11806,1704760,0,89968,89968
13032,1706520,0,91811,91811
12666,1702341,0,89223,89223
14255,1703918,0,89738,89738
14314,1698996,0,88360,88360
11914,1703962,0,89778,89778
14212,1703712,0,89705,89705
12858,1702077,0,89148,89148
14196,1705129,0,90134,90134
15182,1700852,0,88936,88936
15282,1706083,0,91507,91507
14201,1705065,0,90071,90071
13002,1703011,1,89440,89441
14032,1699960,1,88596,88596
14301,1703897,0,89714,89714
12827,1702260,0,89211,89211
14543,1700841,0,88922,88922
14061,1697562,0,88159,88159
15394,1698721,0,88321,88321
15482,1700884,1,88964,88964
14536,1700841,1,88923,88923
14435,1697058,0,87913,87913
9879,1705017,0,90032,90032
12700,1704766,0,89974,89974
12890,1703962,1,89779,89779
15525,1698721,0,88320,88320
15176,1697115,1,87941,87940
12666,1704500,0,89903,89903
12657,1700105,0,88636,88636
15259,1706083,0,91507,91507
12994,1703142,0,89498,89498
15246,1705711,0,91269,91269
12756,1703918,0,89746,89746
15089,1699061,0,88391,88391
15100,1705711,0,91269,91269
14453,1697115,0,87939,87939
14399,1705033,0,90049,90049
12731,1704031,0,89820,89820
12970,1706510,0,91808,91808
15183,1697299,0,87977,87977
14097,1705033,0,90042,90042
14505,1705017,0,90034,90034
12919,1704760,1,89967,89968
12790,1702233,0,89180,89180
12943,1699061,0,88412,88412
15176,1697033,0,87883,87883
15056,1699061,1,88402,88441
14090,1697720,0,88174,88174
15501,1697033,0,87883,87883
10946,1700526,1,88813,88818
11914,1701456,0,89012,89012
12923,1704760,0,89965,89965
15455,1697115,0,87936,87936
12652,1703712,0,89704,89704
12644,1702368,0,89250,89250
15059,1697058,0,87917,87917
15173,1699451,0,88500,88500
14193,1705113,0,90128,90128
15065,1700841,0,88921,88921
14492,1700884,0,88959,88959
12645,1703897,1,89726,89717
